id,communitynumber_bfs,zip_type,zipcode,additional_digit,g_zipcode,name_short,name,state_id/id,lang,lang2,post_delivery_through,valid_from,zip_post_delivery,sort,country_id/id,onrp
city_104,5586,20,1000,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19880301,100060,0,base.ch,104
city_125,5586,20,1000,25,1000,Lausanne 25,Lausanne 25,bt_ch_state.state_VD,2,,130,19880301,100060,1,base.ch,125
city_126,5586,10,1000,26,1000,Lausanne 26,Lausanne 26,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,126
city_127,5586,20,1000,27,1000,Lausanne 27,Lausanne 27,bt_ch_state.state_VD,2,,130,19970728,100060,1,base.ch,127
city_150,5586,20,1003,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,150
city_151,5586,20,1004,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,151
city_152,5586,20,1005,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,152
city_153,5586,20,1006,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,153
city_154,5586,20,1007,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,154
city_156,5589,10,1008,00,1000,Prilly,Prilly,bt_ch_state.state_VD,2,,130,19960610,100060,1,base.ch,156
city_157,5590,10,1009,00,1000,Pully,Pully,bt_ch_state.state_VD,2,,130,19960610,100060,1,base.ch,157
city_158,5586,20,1010,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,158
city_159,5586,20,1011,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,159,19920210,101100,1,base.ch,159
city_160,5586,20,1012,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19860521,100060,1,base.ch,160
city_163,5635,10,1015,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19920210,100060,1,base.ch,163
city_164,5586,20,1018,00,1000,Lausanne,Lausanne,bt_ch_state.state_VD,2,,130,19880301,100060,1,base.ch,164
city_165,5591,20,1020,00,1020,Renens VD,Renens VD,bt_ch_state.state_VD,2,,7248,19911203,102060,1,base.ch,165
city_168,5627,10,1022,00,1022,Chavannes-Renens,Chavannes-près-Renens,bt_ch_state.state_VD,2,,7248,19960610,102060,1,base.ch,168
city_169,5583,20,1023,00,1023,Crissier,Crissier,bt_ch_state.state_VD,2,,7172,20010912,102360,1,base.ch,169
city_170,5635,10,1024,00,1024,Ecublens VD,Ecublens VD,bt_ch_state.state_VD,2,,7172,19860521,102360,1,base.ch,170
city_171,5648,10,1025,00,1025,St-Sulpice VD,St-Sulpice VD,bt_ch_state.state_VD,2,,6256,19860521,111060,1,base.ch,171
city_174,5638,20,1027,00,1027,Lonay,Lonay,bt_ch_state.state_VD,2,,6256,19930427,111060,1,base.ch,174
city_175,5643,10,1028,00,1028,Préverenges,Préverenges,bt_ch_state.state_VD,2,,6256,19860521,111060,1,base.ch,175
city_178,5624,10,1030,00,1030,Bussigny,Bussigny,bt_ch_state.state_VD,2,,7171,19890308,103060,1,base.ch,178
city_179,5592,10,1032,00,1032,Romanel-s-Lausanne,Romanel-sur-Lausanne,bt_ch_state.state_VD,2,,7497,19990908,103360,1,base.ch,179
city_180,5582,10,1033,00,1033,Cheseaux-Lausanne,Cheseaux-sur-Lausanne,bt_ch_state.state_VD,2,,7497,19890329,103360,1,base.ch,180
city_182,5521,10,1037,00,1037,Etagnières,Etagnières,bt_ch_state.state_VD,2,,7497,19960806,103360,1,base.ch,182
city_183,5512,10,1038,00,1038,Bercher,Bercher,bt_ch_state.state_VD,2,,183,19860521,103800,1,base.ch,183
city_185,5518,10,1040,00,1040,Echallens,Echallens,bt_ch_state.state_VD,2,,7670,19960806,104060,1,base.ch,185
city_191,5535,20,1040,03,1040,St-Barthélemy VD,St-Barthélemy VD,bt_ch_state.state_VD,2,,7670,19911202,104060,1,base.ch,191
city_192,5529,20,1377,00,1377,Oulens-Echallens,Oulens-sous-Echallens,bt_ch_state.state_VD,2,,7670,19860521,104060,1,base.ch,192
city_193,5471,20,1042,04,1042,Bettens,Bettens,bt_ch_state.state_VD,2,,208,20010906,104200,1,base.ch,193
city_194,5537,20,1040,02,1040,Villars-le-Terroir,Villars-le-Terroir,bt_ch_state.state_VD,2,,7670,19991209,104060,1,base.ch,194
city_195,5520,20,1417,02,1417,Epautheyres,Epautheyres,bt_ch_state.state_VD,2,,6257,19900501,140060,1,base.ch,195
city_196,5540,20,1041,21,1041,Dommartin,Dommartin,bt_ch_state.state_VD,2,,7670,19890601,104060,1,base.ch,196
city_197,5693,20,1063,04,1063,Peyres-Possens,Peyres-Possens,bt_ch_state.state_VD,2,,7661,20010813,151060,1,base.ch,197
city_198,5661,20,1063,03,1063,Boulens,Boulens,bt_ch_state.state_VD,2,,7661,20010813,151060,1,base.ch,198
city_199,5540,20,1041,31,1041,Poliez-le-Grand,Poliez-le-Grand,bt_ch_state.state_VD,2,,7670,19960806,104060,1,base.ch,199
city_200,5533,20,1041,32,1041,Poliez-Pittet,Poliez-Pittet,bt_ch_state.state_VD,2,,7670,19860521,104060,1,base.ch,200
city_201,5514,20,1041,33,1041,Bottens,Bottens,bt_ch_state.state_VD,2,,7670,19860521,104060,1,base.ch,201
city_202,5515,20,1053,02,1053,Bretigny-Morrens,Bretigny-sur-Morrens,bt_ch_state.state_VD,2,,7650,19860521,105260,1,base.ch,202
city_205,5473,20,1034,00,1034,Boussens,Boussens,bt_ch_state.state_VD,2,,7171,19880529,103060,1,base.ch,205
city_206,5472,20,1035,00,1035,Bournens,Bournens,bt_ch_state.state_VD,2,,7171,19980818,103060,1,base.ch,206
city_207,5501,20,1036,00,1036,Sullens,Sullens,bt_ch_state.state_VD,2,,7171,19880529,103060,1,base.ch,207
city_208,5511,10,1042,00,1042,Assens,Assens,bt_ch_state.state_VD,2,,208,19960806,104200,1,base.ch,208
city_209,5540,20,1043,00,1043,Sugnens,Sugnens,bt_ch_state.state_VD,2,,7670,19880529,104060,1,base.ch,209
city_210,5522,20,1044,00,1044,Fey,Fey,bt_ch_state.state_VD,2,,183,19880529,103800,1,base.ch,210
city_211,5680,20,1045,00,1045,Ogens,Ogens,bt_ch_state.state_VD,2,,183,19880529,103800,1,base.ch,211
city_212,5903,20,1407,04,1407,Bioley-Magnoux,Bioley-Magnoux,bt_ch_state.state_VD,2,,6257,20000601,140060,1,base.ch,212
city_213,5513,20,1042,03,1042,Bioley-Orjulaz,Bioley-Orjulaz,bt_ch_state.state_VD,2,,208,19991209,104200,1,base.ch,213
city_214,5587,10,1052,00,1052,Mont-sur-Lausanne,Le Mont-sur-Lausanne,bt_ch_state.state_VD,2,,7650,19860521,105260,1,base.ch,214
city_215,5516,10,1053,00,1053,Cugy VD,Cugy VD,bt_ch_state.state_VD,2,,7650,19920427,105260,1,base.ch,215
city_216,5527,10,1054,00,1054,Morrens VD,Morrens VD,bt_ch_state.state_VD,2,,7497,19860521,103360,1,base.ch,216
